ds,job_id,actor_id,event,language,time_spent,org
11/26/2020,805,1180,decision,Arabic,43,F
11/27/2020,868,1764,skip,English,19,F
12/01/2020,600,1099,decision,Hindi,46,E
11/12/2020,673,1037,transfer,English,9,C
11/24/2020,173,1798,skip,Persian,48,F
11/11/2020,978,1685,skip,Chinese,40,D
11/14/2020,169,1481,transfer,Arabic,30,F
11/30/2020,613,1603,skip,French,59,C
11/24/2020,136,1762,transfer,Spanish,29,A
11/20/2020,988,1475,transfer,Portuguese,48,C
11/11/2020,183,1164,decision,Chinese,12,B
12/01/2020,747,1396,skip,French,29,F
11/13/2020,644,1563,transfer,French,52,B
11/10/2020,245,1197,transfer,Spanish,23,A
11/13/2020,461,1064,transfer,Arabic,55,F
11/14/2020,187,1921,skip,Chinese,14,F
11/13/2020,217,1937,decision,Arabic,20,D
11/06/2020,324,1364,decision,Portuguese,16,B
11/13/2020,564,1843,skip,Spanish,16,B
11/08/2020,955,1813,decision,English,57,E
11/10/2020,121,1047,decision,Hindi,11,A
11/25/2020,716,1191,skip,Persian,37,A
11/14/2020,779,1765,skip,Arabic,30,E
11/13/2020,146,1178,transfer,Spanish,45,A
11/05/2020,348,1914,transfer,Russian,51,E
11/12/2020,736,1701,decision,French,15,D
11/11/2020,131,1349,transfer,Portuguese,56,F
11/13/2020,544,1685,decision,English,46,C
12/01/2020,189,1295,transfer,French,53,B
11/24/2020,342,1089,transfer,Chinese,39,B
11/05/2020,223,1809,transfer,Spanish,53,E
11/24/2020,599,1015,skip,Persian,10,A
11/07/2020,607,1830,transfer,Portuguese,51,C
11/02/2020,628,1044,decision,Portuguese,36,A
11/05/2020,843,1100,skip,Arabic,44,E
11/27/2020,135,1732,skip,Arabic,13,A
11/29/2020,471,1976,skip,French,16,C
11/03/2020,976,1285,transfer,German,31,A
11/01/2020,815,1389,decision,Chinese,55,F
11/25/2020,166,1571,skip,Spanish,56,D
11/01/2020,439,1471,skip,Persian,53,C
11/11/2020,542,1775,skip,Arabic,35,C
11/07/2020,953,1047,skip,French,29,F
11/09/2020,673,1331,decision,Arabic,11,C
11/22/2020,608,1339,transfer,Russian,14,C
11/09/2020,298,1745,decision,Portuguese,22,A
11/02/2020,779,1487,skip,Russian,47,C
11/21/2020,308,1588,decision,Hindi,38,D
11/19/2020,436,1957,skip,English,42,F
11/11/2020,392,1380,skip,Persian,31,F
11/10/2020,555,1481,decision,French,39,E
11/20/2020,255,1090,skip,Hindi,26,E
11/13/2020,599,1794,transfer,Portuguese,57,C
11/30/2020,616,1250,decision,Spanish,54,E
11/17/2020,568,1560,decision,English,49,E
11/29/2020,684,1055,transfer,Chinese,33,E
11/15/2020,181,1040,transfer,English,15,B
11/01/2020,545,1398,skip,Spanish,16,F
11/22/2020,468,1982,transfer,Spanish,26,F
11/05/2020,459,1022,transfer,Chinese,48,B
11/07/2020,215,1948,transfer,Portuguese,13,A
11/23/2020,652,1876,transfer,Chinese,17,B
11/18/2020,613,1399,decision,Chinese,60,E
11/09/2020,229,1825,decision,Chinese,38,F
11/06/2020,179,1740,decision,Arabic,24,F
11/07/2020,601,1038,transfer,German,43,A
11/06/2020,553,1439,transfer,Spanish,29,E
11/18/2020,851,1537,transfer,Chinese,38,A
11/27/2020,279,1374,transfer,Chinese,45,C
11/07/2020,159,1228,skip,Persian,22,F
11/24/2020,749,1508,skip,Persian,21,A
11/02/2020,920,1926,decision,German,18,A
11/13/2020,939,1958,skip,English,6,A
11/15/2020,516,1225,transfer,Spanish,56,D
11/19/2020,782,1543,skip,German,57,D
11/19/2020,628,1613,transfer,Portuguese,58,A
11/01/2020,726,1048,transfer,Hindi,31,C
11/30/2020,839,1412,decision,Spanish,60,A
11/21/2020,233,1670,decision,Hindi,45,B
11/07/2020,919,1843,decision,Spanish,24,D
11/13/2020,661,1155,decision,English,32,B
11/24/2020,357,1937,transfer,Arabic,50,B
11/02/2020,635,1818,decision,English,25,C
11/01/2020,780,1822,decision,Persian,25,E
11/17/2020,985,1714,decision,Portuguese,5,B
11/29/2020,453,1479,decision,Hindi,46,D
11/17/2020,474,1971,skip,English,53,C
11/05/2020,163,1081,skip,German,42,F
11/18/2020,970,1685,transfer,Chinese,58,A
11/08/2020,406,1171,skip,Portuguese,55,A
11/27/2020,626,1974,skip,Hindi,21,C
11/06/2020,565,1719,transfer,Spanish,43,B
11/13/2020,113,1677,transfer,Persian,21,A
11/23/2020,211,1435,decision,Arabic,19,F
11/08/2020,149,1344,skip,English,31,E
11/22/2020,866,1055,transfer,German,48,E
11/13/2020,801,1808,skip,English,45,B
11/03/2020,127,1525,decision,Chinese,21,E
11/20/2020,954,1214,skip,Hindi,21,A
11/15/2020,505,1783,decision,Portuguese,57,B
11/29/2020,503,1354,decision,English,43,E
11/21/2020,672,1648,skip,Spanish,26,C
11/18/2020,239,1884,skip,Spanish,31,E
11/12/2020,972,1944,transfer,Persian,8,F
11/24/2020,543,1274,skip,French,24,D
11/25/2020,439,1644,decision,French,25,F
11/01/2020,289,1198,decision,Spanish,33,B
11/22/2020,600,1689,transfer,Russian,58,A
11/25/2020,214,1886,skip,Arabic,51,B
11/06/2020,891,1144,skip,Portuguese,41,C
11/20/2020,930,1175,skip,Persian,38,C
11/13/2020,646,1298,decision,French,10,B
11/19/2020,863,1883,skip,Arabic,47,A
11/15/2020,414,1791,decision,Spanish,45,C
11/26/2020,338,1907,transfer,Persian,60,D
11/21/2020,117,1109,decision,Persian,53,C
11/26/2020,214,1735,transfer,Russian,14,B
11/23/2020,408,1407,decision,Chinese,51,B
11/16/2020,277,1225,skip,Arabic,22,B
11/22/2020,359,1032,transfer,German,34,A
11/28/2020,114,1873,transfer,Portuguese,29,F
11/17/2020,280,1208,transfer,Arabic,20,D
11/06/2020,660,1654,transfer,Persian,26,C
11/05/2020,432,1352,skip,Arabic,50,D
11/21/2020,799,1840,skip,Chinese,38,E
11/29/2020,638,1957,decision,French,22,C
11/29/2020,346,1843,transfer,Hindi,55,C
11/15/2020,960,1450,transfer,Spanish,18,D
11/17/2020,110,1874,skip,Russian,33,D
11/09/2020,323,1017,skip,Chinese,24,A
11/06/2020,112,1899,transfer,Russian,35,E
11/29/2020,145,1967,skip,Portuguese,36,A
11/25/2020,310,1353,skip,Russian,49,C
11/07/2020,756,1674,skip,Portuguese,16,D
11/14/2020,290,1201,transfer,Persian,34,D
11/11/2020,124,1974,decision,Chinese,47,C
11/24/2020,430,1836,decision,Arabic,23,E
11/12/2020,551,1057,skip,Arabic,12,F
11/17/2020,824,1711,skip,Spanish,51,E
11/22/2020,983,1836,decision,French,25,C
11/06/2020,436,1080,decision,Spanish,45,E
11/15/2020,831,1308,transfer,Hindi,33,E
11/01/2020,566,1545,skip,French,16,E
11/12/2020,745,1054,transfer,Russian,40,C
11/12/2020,817,1450,decision,German,20,C
11/24/2020,545,1777,decision,Russian,18,F
11/26/2020,659,1603,transfer,English,20,C
12/01/2020,833,1198,transfer,German,26,A
11/12/2020,298,1268,skip,Chinese,59,B
11/28/2020,681,1901,transfer,French,25,A
11/24/2020,427,1135,transfer,Hindi,19,F
11/23/2020,766,1824,decision,French,42,B
11/20/2020,223,1094,skip,Portuguese,10,E
11/23/2020,932,1897,transfer,Persian,11,D
11/11/2020,407,1908,decision,German,43,D
11/02/2020,809,1101,decision,Persian,45,C
11/11/2020,287,1925,skip,Hindi,6,E
11/21/2020,234,1062,decision,Persian,39,C
11/14/2020,224,1638,transfer,Spanish,58,B
11/28/2020,812,1181,decision,Russian,18,F
11/15/2020,636,1073,transfer,French,57,D
11/03/2020,648,1531,decision,French,55,D
11/28/2020,180,1410,transfer,Hindi,48,C
11/08/2020,886,1365,skip,Hindi,53,D
11/14/2020,684,1123,transfer,Chinese,5,F
11/14/2020,156,1225,transfer,Persian,26,A
11/02/2020,378,1404,transfer,Persian,5,B
11/08/2020,970,1189,transfer,English,49,C
11/22/2020,485,1625,skip,Hindi,13,B
11/03/2020,586,1949,transfer,Persian,35,D
11/29/2020,566,1734,transfer,Chinese,23,A
11/23/2020,437,1361,transfer,Chinese,25,B
11/05/2020,538,1870,decision,French,53,B
11/07/2020,243,1110,decision,Chinese,42,B
11/02/2020,805,1448,transfer,English,32,A
11/11/2020,455,1572,decision,Portuguese,35,B
11/11/2020,209,1512,decision,Chinese,45,A
11/09/2020,322,1045,decision,Spanish,50,B
11/07/2020,762,1370,transfer,German,40,F
11/30/2020,262,1056,skip,Persian,15,B
11/13/2020,432,1314,transfer,French,7,F
11/15/2020,233,1407,decision,English,16,A
11/17/2020,778,1787,skip,French,28,A
11/18/2020,743,1802,transfer,French,11,A
11/12/2020,672,1030,transfer,Russian,28,C
11/29/2020,406,1217,transfer,Portuguese,23,D
11/21/2020,608,1338,decision,Arabic,23,E
11/30/2020,723,1741,transfer,Chinese,8,F
11/02/2020,663,1760,decision,Chinese,33,B
11/03/2020,845,1743,skip,English,32,E
11/27/2020,355,1785,transfer,French,22,C
11/06/2020,682,1101,decision,Arabic,18,E
11/15/2020,194,1945,decision,Russian,55,B
11/23/2020,514,1734,skip,German,60,A
11/29/2020,663,1308,skip,Persian,54,F
11/05/2020,237,1641,transfer,English,52,E
11/05/2020,541,1502,skip,English,49,D
11/03/2020,172,1405,decision,Portuguese,40,B
11/18/2020,157,1035,transfer,Portuguese,7,F
11/27/2020,121,1133,skip,Spanish,12,F
11/03/2020,820,1469,transfer,Arabic,35,B
11/12/2020,139,1560,decision,Russian,44,B
11/29/2020,615,1364,transfer,Russian,15,A
11/02/2020,104,1955,decision,Chinese,57,C
11/18/2020,358,1499,transfer,Hindi,41,E
11/11/2020,973,1035,decision,Spanish,18,E
11/28/2020,439,1223,skip,Portuguese,27,D
11/30/2020,499,1682,transfer,Portuguese,57,C
11/10/2020,959,1642,transfer,Spanish,20,C
11/16/2020,514,1080,skip,German,42,F
11/08/2020,652,1481,skip,Chinese,49,E
11/10/2020,879,1084,decision,Arabic,37,C
11/04/2020,363,1555,skip,Chinese,19,C
11/12/2020,261,1078,skip,English,33,E
12/01/2020,498,1052,decision,Chinese,41,F
11/10/2020,616,1812,skip,Chinese,54,D
11/04/2020,656,1015,transfer,Hindi,21,B
11/14/2020,937,1694,skip,Persian,41,D
11/07/2020,837,1717,transfer,English,17,B
11/13/2020,662,1861,decision,Spanish,53,B
11/20/2020,606,1081,transfer,English,21,B
11/20/2020,903,1702,skip,French,39,C
11/20/2020,682,1071,skip,Hindi,22,B
11/13/2020,679,1918,decision,English,16,A
11/14/2020,664,1123,skip,Portuguese,55,E
11/01/2020,958,1945,skip,Arabic,19,A
11/24/2020,588,1774,skip,German,26,F
11/15/2020,988,1450,transfer,Portuguese,21,E
12/01/2020,857,1037,transfer,French,15,F
11/19/2020,208,1665,decision,Spanish,45,B
11/27/2020,646,1102,skip,Hindi,25,A
11/12/2020,814,1505,transfer,Portuguese,37,F
11/05/2020,645,1834,decision,Portuguese,52,A
11/14/2020,868,1865,transfer,Russian,14,C
11/12/2020,607,1235,transfer,German,42,C
11/28/2020,655,1990,transfer,French,21,F
11/04/2020,575,1966,transfer,English,49,B
11/29/2020,964,1684,decision,Portuguese,50,D
11/28/2020,936,1819,transfer,German,43,F
11/24/2020,241,1426,transfer,Russian,34,F
11/30/2020,318,1775,decision,Russian,28,E
11/13/2020,523,1938,decision,Russian,51,A
11/24/2020,357,1209,decision,Arabic,51,D
11/04/2020,955,1318,decision,Hindi,52,E
11/09/2020,927,1275,decision,Russian,40,C
11/11/2020,102,2000,decision,Chinese,7,B
11/22/2020,842,1941,skip,Spanish,19,E
11/22/2020,622,1840,skip,Arabic,19,E
11/24/2020,351,1672,transfer,Hindi,9,F
11/16/2020,412,1127,decision,Russian,20,D
11/24/2020,301,1018,skip,Persian,60,D
11/30/2020,725,1191,transfer,Portuguese,22,A
11/05/2020,274,1354,skip,Hindi,36,C
11/19/2020,260,1115,transfer,Persian,49,D
11/08/2020,711,1501,skip,Chinese,49,A
11/30/2020,881,1976,skip,German,24,D
12/01/2020,342,1653,skip,Hindi,17,A
11/05/2020,371,1361,skip,Arabic,23,F
11/07/2020,841,1116,skip,Chinese,45,D
11/15/2020,249,1582,skip,Russian,55,E
11/26/2020,536,1727,decision,Spanish,8,F
11/06/2020,791,1228,transfer,Portuguese,30,C
11/22/2020,603,1301,decision,English,37,D
11/23/2020,987,1996,transfer,Hindi,42,C
11/27/2020,667,1552,transfer,Portuguese,26,D
11/25/2020,827,1020,skip,Spanish,29,C
11/13/2020,296,1824,transfer,Hindi,33,A
11/07/2020,177,1943,skip,English,27,A
11/30/2020,263,1680,decision,Spanish,11,D
11/13/2020,246,1514,skip,Chinese,22,D
11/29/2020,777,1975,decision,Spanish,50,A
11/29/2020,621,1144,skip,Hindi,53,A
11/15/2020,584,1403,transfer,Persian,11,F
11/06/2020,781,1924,decision,Spanish,38,C
11/19/2020,340,1400,skip,Persian,5,C
11/06/2020,888,1093,decision,Spanish,23,D
11/24/2020,991,1993,transfer,Arabic,20,B
11/18/2020,516,1932,skip,Persian,29,A
11/08/2020,605,1126,transfer,Spanish,6,D
11/02/2020,911,1588,transfer,French,30,E
11/28/2020,623,1057,transfer,Hindi,10,E
11/30/2020,652,1341,transfer,Russian,12,B
11/23/2020,614,1938,skip,Chinese,20,F
11/26/2020,909,1350,transfer,Portuguese,49,C
11/08/2020,348,1772,skip,French,48,D
11/16/2020,607,1506,transfer,French,29,E
11/13/2020,209,1354,skip,Persian,52,C
11/23/2020,975,1205,decision,Chinese,34,F
11/30/2020,935,1875,skip,French,31,D
11/15/2020,416,1017,skip,Persian,44,F
11/03/2020,432,1414,transfer,Persian,13,A
11/07/2020,421,1780,skip,Spanish,40,F
11/11/2020,193,1250,transfer,Arabic,19,B
11/08/2020,451,1383,skip,French,8,F
11/17/2020,854,1995,skip,Portuguese,58,C
11/02/2020,879,1382,decision,Arabic,35,B
11/03/2020,762,1205,transfer,German,7,E
11/28/2020,802,1618,decision,Chinese,6,D
11/09/2020,432,1006,transfer,Persian,45,A
11/27/2020,715,1075,skip,Chinese,20,B
11/14/2020,156,1669,decision,German,18,A
11/01/2020,727,1540,decision,Spanish,50,F
11/25/2020,693,1315,skip,Persian,16,B
12/01/2020,532,1494,skip,English,12,C
11/27/2020,989,1153,decision,Portuguese,33,F
11/03/2020,911,1591,skip,German,51,D
11/02/2020,196,1282,skip,Portuguese,48,A
11/07/2020,801,1787,transfer,Portuguese,8,E
11/22/2020,507,1560,transfer,Arabic,6,E
11/05/2020,286,1841,skip,Chinese,18,E
11/13/2020,752,1432,skip,German,35,A
11/16/2020,854,1661,decision,Persian,51,D
11/16/2020,357,1308,transfer,Russian,52,D
11/19/2020,451,1812,transfer,French,9,D
11/26/2020,777,1226,decision,Russian,29,E
11/28/2020,370,1075,transfer,Chinese,30,A
11/11/2020,539,1745,skip,Spanish,43,A
11/22/2020,470,1958,transfer,Spanish,30,A
11/13/2020,191,1825,skip,English,54,F
11/17/2020,504,1362,decision,Persian,27,C
11/03/2020,415,1775,transfer,Russian,42,C
11/02/2020,318,1073,transfer,Russian,21,C
11/19/2020,827,1175,transfer,English,41,C
11/08/2020,893,1003,decision,Chinese,24,A
12/01/2020,304,1668,decision,Portuguese,37,A
11/23/2020,616,1751,transfer,Portuguese,40,E
11/24/2020,717,1949,skip,Arabic,50,C
11/04/2020,818,1245,skip,German,59,D
11/20/2020,313,1344,transfer,English,14,F
11/18/2020,579,1187,transfer,Portuguese,9,C
11/22/2020,757,1518,decision,Russian,54,B
11/16/2020,911,1609,decision,German,32,F
11/12/2020,313,1893,transfer,German,43,F
11/04/2020,867,1284,decision,Hindi,28,A
11/25/2020,981,1225,skip,English,57,A
11/01/2020,301,1466,transfer,German,52,F
11/25/2020,454,1879,transfer,French,8,A
11/29/2020,108,1685,transfer,Chinese,54,E
11/09/2020,263,1796,skip,Spanish,39,C
11/17/2020,785,1813,skip,Hindi,12,D
11/12/2020,445,1709,skip,Spanish,18,C
11/24/2020,247,1038,transfer,Russian,38,A
11/21/2020,626,1865,skip,English,34,D
11/14/2020,421,1972,transfer,Russian,58,B
11/08/2020,188,1406,skip,French,58,E
11/18/2020,616,1857,skip,Persian,50,E
11/10/2020,365,1038,decision,Portuguese,44,E
11/25/2020,436,1889,transfer,Arabic,50,D
11/17/2020,220,1454,skip,Spanish,6,D
11/14/2020,125,1148,skip,Portuguese,53,D
11/09/2020,742,1437,decision,Portuguese,46,B
11/06/2020,635,1052,skip,Hindi,23,C
11/07/2020,920,1866,skip,German,14,A
11/12/2020,465,1677,decision,Arabic,17,A
11/08/2020,873,1518,skip,Spanish,33,C
11/25/2020,311,1135,decision,Portuguese,30,B
11/15/2020,584,1569,skip,Hindi,26,B
11/30/2020,454,1553,skip,French,50,A
11/14/2020,428,1522,skip,Portuguese,50,E
11/18/2020,990,1664,transfer,Russian,31,E
11/19/2020,977,1992,transfer,English,28,A
11/10/2020,387,1051,transfer,Hindi,58,D
12/01/2020,395,1303,skip,French,16,D
11/19/2020,961,1666,decision,English,20,A
11/09/2020,667,1047,decision,French,48,F
11/14/2020,107,1380,skip,German,36,B
11/18/2020,336,1499,skip,French,17,F
11/23/2020,496,1022,decision,Hindi,33,B
11/19/2020,804,1029,skip,Persian,10,B
11/03/2020,928,1914,skip,Spanish,56,E
11/05/2020,768,1529,transfer,German,49,F
11/28/2020,515,1141,decision,Spanish,60,F
11/01/2020,709,1140,decision,Persian,54,F
11/16/2020,359,1431,skip,Chinese,40,C
11/20/2020,633,1418,skip,Chinese,54,E
11/05/2020,300,1616,transfer,Chinese,47,D
11/18/2020,851,1072,decision,Hindi,18,C
12/02/2020,825,1813,transfer,Chinese,14,E
12/02/2020,258,1228,decision,Italian,6,C
12/02/2020,988,1364,transfer,English,43,F
12/02/2020,394,1090,skip,Arabic,14,E
12/02/2020,430,1399,skip,Italian,48,A
12/02/2020,408,1014,transfer,Portuguese,44,C
12/03/2020,187,1439,decision,English,11,B
12/03/2020,394,1250,transfer,Italian,12,C
12/03/2020,300,1275,transfer,Persian,53,F
12/03/2020,727,1087,decision,French,11,D
12/03/2020,736,1439,skip,Hindi,37,A
12/03/2020,601,1808,transfer,German,40,A
12/03/2020,972,1123,decision,English,54,C
12/03/2020,406,1977,skip,Italian,5,E
12/03/2020,626,1197,transfer,English,22,A
12/03/2020,952,1567,decision,English,11,B
12/03/2020,891,1055,transfer,Persian,58,D
12/03/2020,750,1201,decision,French,56,F
12/04/2020,650,1932,transfer,Hindi,10,B
12/04/2020,287,1734,decision,German,7,B
12/04/2020,465,1554,skip,English,52,A
12/04/2020,407,1514,skip,Russian,12,E
12/04/2020,214,1380,skip,Hindi,21,F
12/04/2020,781,1849,transfer,Persian,26,D
12/04/2020,868,1687,transfer,English,20,B
12/04/2020,578,1437,skip,Spanish,25,F
12/04/2020,747,1214,decision,English,7,E
12/04/2020,445,1625,transfer,Chinese,25,B
12/04/2020,430,1553,decision,French,20,F
12/04/2020,844,1945,transfer,French,57,A
12/05/2020,503,1664,skip,French,12,A
12/05/2020,274,1830,decision,Persian,31,A
12/05/2020,961,1226,skip,Arabic,27,F
12/05/2020,989,1676,skip,Italian,10,C
12/05/2020,436,1974,transfer,German,32,D
12/05/2020,461,1454,transfer,French,58,B
12/05/2020,646,1201,transfer,Spanish,44,F
12/05/2020,188,1374,decision,Hindi,39,C
12/05/2020,957,1494,transfer,Russian,44,E
12/05/2020,532,1341,decision,Italian,38,A
12/05/2020,879,1396,decision,Spanish,58,A
12/05/2020,590,1975,transfer,English,32,B
12/05/2020,25,1668,skip,German,42,B
12/06/2020,977,1412,transfer,Spanish,59,D
12/06/2020,124,1644,decision,English,46,A
12/06/2020,815,1571,decision,Italian,43,C
12/06/2020,220,1689,decision,German,60,E
12/06/2020,717,1785,decision,Portuguese,28,E
12/06/2020,727,1057,decision,Persian,37,C
12/06/2020,362,1582,decision,Portuguese,9,E
12/06/2020,193,1818,skip,Arabic,48,F
12/06/2020,525,1284,transfer,Hindi,44,C
12/07/2020,127,1133,decision,English,59,B
12/07/2020,888,1344,transfer,French,51,C
12/07/2020,682,1830,transfer,Russian,49,D
12/07/2020,211,1685,transfer,Russian,54,E
12/07/2020,755,1374,transfer,Spanish,54,D
12/08/2020,881,1682,transfer,English,6,C
12/08/2020,635,1771,skip,Chinese,9,E
12/08/2020,117,1798,skip,Hindi,55,D
12/08/2020,308,1401,skip,Arabic,45,B
12/08/2020,353,1383,transfer,Persian,9,D
12/08/2020,314,1567,skip,Arabic,30,F
12/08/2020,831,1164,transfer,Hindi,50,C
12/08/2020,660,1295,transfer,Italian,43,C
12/08/2020,868,1771,skip,English,7,F
12/08/2020,739,1995,skip,Arabic,13,D
12/08/2020,662,1813,transfer,Chinese,21,D
12/08/2020,477,1200,transfer,English,18,C
12/09/2020,323,1101,transfer,Arabic,39,E
12/09/2020,342,1141,skip,Russian,20,B
12/09/2020,380,1866,decision,Persian,56,D
12/09/2020,101,1226,transfer,Spanish,13,B
12/09/2020,11,1555,transfer,French,12,B
12/09/2020,407,1637,skip,Spanish,13,D
12/09/2020,749,1354,skip,Portuguese,15,F
12/09/2020,311,1381,skip,Spanish,28,E
12/09/2020,976,1298,decision,Arabic,57,E
12/09/2020,939,1094,transfer,Russian,41,A
12/09/2020,551,1751,transfer,Persian,52,C
12/09/2020,115,1732,decision,Chinese,39,F
12/10/2020,500,1274,decision,Hindi,39,D
12/10/2020,615,1155,transfer,Chinese,6,F
12/10/2020,804,1175,skip,English,9,F
12/10/2020,711,1380,skip,Persian,19,A
12/10/2020,601,1714,transfer,Arabic,59,F
12/10/2020,378,1134,skip,Italian,43,D
